Id	rating
802553	1
802554	1
802555	1
802556	1
802557	1
802558	1
802559	1
802560	1
802561	1
802562	1
802563	1
802564	1
802565	1
802566	1
802567	1
802568	1
802569	1
802570	1
802571	1
802572	1
802573	1
802574	1
802575	1
802576	1
802577	1
802578	1
802579	1
802580	1
802581	1
802582	1
802583	1
802584	1
802585	1
802586	1
802587	1
802588	1
802589	1
802590	1
802591	1
802592	1
802593	1
802594	1
802595	1
802596	1
802597	1
802598	1
802599	1
802600	1
802601	1
802602	1
802603	1
802604	1
802605	1
802606	1
802607	1
802608	1
802609	1
802610	1
802611	1
802612	1
802613	1
802614	1
802615	1
802616	1
802617	1
802618	1
802619	1
802620	1
802621	1
802622	1
802623	1
802624	1
802625	1
802626	1
802627	1
802628	1
802629	1
802630	1
802631	1
802632	1
802633	1
802634	1
802635	1
802636	1
802637	1
802638	1
802639	1
802640	1
802641	1
802642	1
802643	1
802644	1
802645	1
802646	1
802647	1
802648	1
802649	1
802650	1
802651	1
802652	1
802653	1
802654	1
802655	1
802656	1
802657	1
802658	1
802659	1
802660	1
802661	1
802662	1
802663	1
802664	1
802665	1
802666	1
802667	1
802668	1
802669	1
802670	1
802671	1
802672	1
802673	1
802674	1
802675	1
802676	1
802677	1
802678	1
802679	1
802680	1
802681	1
802682	1
802683	1
802684	1
802685	1
802686	1
802687	1
802688	1
802689	1
802690	1
802691	1
802692	1
802693	1
802694	1
802695	1
802696	1
802697	1
802698	1
802699	1
802700	1
802701	1
802702	1
802703	1
802704	1
802705	1
802706	1
802707	1
802708	1
802709	1
802710	1
802711	1
802712	1
802713	1
802714	1
802715	1
802716	1
802717	1
802718	1
802719	1
802720	1
802721	1
802722	1
802723	1
802724	1
802725	1
802726	1
802727	1
802728	1
802729	1
802730	1
802731	1
802732	1
802733	1
802734	1
802735	1
802736	1
802737	1
802738	1
802739	1
802740	1
802741	1
802742	1
802743	1
802744	1
802745	1
802746	1
802747	1
802748	1
802749	1
802750	1
802751	1
802752	1
802753	1
802754	1
802755	1
802756	1
802757	1
802758	1
802759	1
802760	1
802761	1
802762	1
802763	1
802764	1
802765	1
802766	1
802767	1
802768	1
802769	1
802770	1
802771	1
802772	1
802773	1
802774	1
802775	1
802776	1
802777	1
802778	1
802779	1
802780	1
802781	1
802782	1
802783	1
802784	1
802785	1
802786	1
802787	1
802788	1
802789	1
802790	1
802791	1
802792	1
802793	1
802794	1
802795	1
802796	1
802797	1
802798	1
802799	1
802800	1
802801	1
802802	1
802803	1
802804	1
802805	1
802806	1
802807	1
802808	1
802809	1
802810	1
802811	1
802812	1
802813	1
802814	1
802815	1
802816	1
802817	1
802818	1
802819	1
802820	1
802821	1
802822	1
802823	1
802824	1
802825	1
802826	1
802827	1
802828	1
802829	1
802830	1
802831	1
802832	1
802833	1
802834	1
802835	1
802836	1
802837	1
802838	1
802839	1
802840	1
802841	1
802842	1
802843	1
802844	1
802845	1
802846	1
802847	1
802848	1
802849	1
802850	1
802851	1
802852	1
802853	1
802854	1
802855	1
802856	1
802857	1
802858	1
802859	1
802860	1
802861	1
802862	1
802863	1
802864	1
802865	1
802866	1
802867	1
802868	1
802869	1
802870	1
802871	1
802872	1
802873	1
802874	1
802875	1
802876	1
802877	1
802878	1
802879	1
802880	1
802881	1
802882	1
802883	1
802884	1
802885	1
802886	1
802887	1
802888	1
802889	1
802890	1
802891	1
802892	1
802893	1
802894	1
802895	1
802896	1
802897	1
802898	1
802899	1
802900	1
802901	1
802902	1
802903	1
802904	1
802905	1
802906	1
802907	1
802908	1
802909	1
802910	1
802911	1
802912	1
802913	1
802914	1
802915	1
802916	1
802917	1
802918	1
802919	1
802920	1
802921	1
802922	1
802923	1
802924	1
802925	1
802926	1
802927	1
802928	1
802929	1
802930	1
802931	1
802932	1
802933	1
802934	1
802935	1
802936	1
802937	1
802938	1
802939	1
802940	1
802941	1
802942	1
802943	1
802944	1
802945	1
802946	1
802947	1
802948	1
802949	1
802950	1
802951	1
802952	1
802953	1
802954	1
802955	1
802956	1
802957	1
802958	1
802959	1
802960	1
802961	1
802962	1
802963	1
802964	1
802965	1
802966	1
802967	1
802968	1
802969	1
802970	1
802971	1
802972	1
802973	1
802974	1
802975	1
802976	1
802977	1
802978	1
802979	1
802980	1
802981	1
802982	1
802983	1
802984	1
802985	1
802986	1
802987	1
802988	1
802989	1
802990	1
802991	1
802992	1
802993	1
802994	1
802995	1
802996	1
802997	1
802998	1
802999	1
803000	1
803001	1
803002	1
803003	1
803004	1
803005	1
803006	1
803007	1
803008	1
803009	1
803010	1
803011	1
803012	1
803013	1
803014	1
803015	1
803016	1
803017	1
803018	1
803019	1
803020	1
803021	1
803022	1
803023	1
803024	1
803025	1
803026	1
803027	1
803028	1
803029	1
803030	1
803031	1
803032	1
803033	1
803034	1
803035	1
803036	1
803037	1
803038	1
803039	1
803040	1
803041	1
803042	1
803043	1
803044	1
803045	1
803046	1
803047	1
803048	1
803049	1
803050	1
803051	1
803052	1
803053	1
803054	1
803055	1
803056	1
803057	1
803058	1
803059	1
803060	1
803061	1
803062	1
803063	1
803064	1
803065	1
803066	1
803067	1
803068	1
803069	1
803070	1
803071	1
803072	1
803073	1
803074	1
803075	1
803076	1
803077	1
803078	1
803079	1
803080	1
803081	1
803082	1
803083	1
803084	1
803085	1
803086	1
803087	1
803088	1
803089	1
803090	1
803091	1
803092	1
803093	1
803094	1
803095	1
